id,ospan_score,total_correct,math_errors,speed_erros,accuracy_errors
05zds,5,16,12,1,11
07wj6,2,17,8,0,8
0i8rx,30,40,3,0,3
0oss0,10,33,7,1,6
0wpbe,30,54,5,0,5
0y2xh,9,19,30,19,11
18dlb,47,55,6,0,6
1codz,25,45,5,1,4
1eagv,17,49,12,4,8
1x78r,2,9,19,7,12
1ycc1,23,54,10,0,10
1zi3s,15,37,12,3,9
1zkii,20,42,17,2,15
28aqw,20,45,8,3,5
2bwmd,30,38,2,1,1
2nmr6,29,50,4,0,4
2pfiy,34,45,9,3,6
2rgd0,48,63,6,1,5
2vszu,38,53,5,0,5
308qp,23,52,12,4,8
3345j,48,64,3,1,2
3koq0,60,64,6,2,4
3lwnu,7,33,15,2,13
3o4up,21,47,6,2,4
48uu8,57,66,1,0,1
4ct26,15,37,10,0,10
4fsra,9,22,6,3,3
4krz4,61,65,4,0,4
50v87,29,50,5,1,4
5ir67,39,60,7,4,3
6k05w,60,65,3,1,2
6ukjc,7,17,6,0,6
710xt,27,47,10,1,9
729dc,45,60,3,0,3
75hrf,43,57,6,3,3
7dfnm,29,56,8,5,3
7gcjm,18,33,7,0,7
7hgj7,32,47,12,8,4
7jwhv,14,37,9,2,7
7k63d,19,48,11,0,11
7lowo,21,42,10,2,8
7pfa7,8,21,12,0,12
86tkn,31,54,2,1,1
8dif7,13,38,5,2,3
8dp7d,9,29,12,7,5
8fvat,10,36,8,0,8
8g0yu,7,29,14,5,9
8jkgj,44,57,4,1,3
8nz8d,14,40,15,4,11
8shbg,24,55,20,3,17
92r8q,37,54,19,18,1
93a79,25,40,10,0,10
93otj,19,38,19,6,13
9ai4y,10,22,6,1,5
9d0qi,30,48,6,2,4
9feqd,29,47,22,8,14
9khsp,27,46,4,0,4
9p6ed,32,44,5,1,4
9u6ge,44,58,3,1,2
9w1z1,35,46,10,2,8
9x404,22,42,17,1,16
a3hpj,13,29,12,2,10
a4bah,56,64,6,1,5
ai12t,45,57,12,2,10
as8uq,23,46,7,0,7
axr1v,42,57,8,1,7
bjchh,47,57,6,2,4
bustq,27,42,26,8,18
bz14f,9,53,5,0,5
c5w6y,40,58,12,0,12
ccwa7,28,42,7,1,6
ceiez,22,33,2,0,2
cs9ej,50,58,4,0,4
cuggr,29,59,14,0,14
d5njy,62,67,7,1,6
dgexv,56,63,5,2,3
dhnen,16,41,8,0,8
dkypf,58,63,20,1,19
dl9l2,30,42,11,5,6
emdt4,28,52,14,6,8
eme40,16,26,9,1,8
eo96j,16,35,9,1,8
eq4sk,43,56,5,1,4
f3wlt,40,53,5,2,3
f9d6j,60,61,15,0,15
fayc7,29,49,9,0,9
g0vr6,39,56,9,0,9
gh664,16,35,10,1,9
gmng,36,52,12,2,10
