"ID_eprime","Eprime.LevelName","Sample","SSout","SSdel","SSdelNum","LLout","LLdel","LLdelNum","Choice"
1,"DDList_50","1","23.79","2 Wochen","2","24.50","6 Wochen","6","SS"
1,"DDList_12","2","12.82","Heute","0","14.11","2 Wochen","2","SS"
1,"DDList_69","3","11.09","4 Wochen","4","12.75","6 Wochen","6","LL"
1,"DDList_80","4","16.81","4 Wochen","?","25.22","6 Wochen","?","LL"
1,"DDList_29","5","20.49","Heute","0","23.56","4 Wochen","4","SS"
1,"DDList_11","6","19.78","Heute","0","20.77","2 Wochen","2","SS"
1,"DDList_9","7","38.86","Heute","0","39.25","2 Wochen","2","SS"
1,"DDList_22","8","22.75","Heute","0","28.44","4 Wochen","4","SS"
1,"DDList_3","9","35.22","Heute","0","36.98","2 Wochen","2","SS"
1,"DDList_74","10","19.73","4 Wochen","4","20.32","6 Wochen","6","LL"
1,"DDList_14","11","13.62","Heute","0","17.03","2 Wochen","2","LL"
1,"DDList_4","12","30.31","Heute","0","33.34","2 Wochen","2","SS"
1,"DDList_44","13","26.75","2 Wochen","2","29.42","4 Wochen","4","LL"
1,"DDList_32","14","17.51","Heute","0","26.27","4 Wochen","4","LL"
1,"DDList_67","15","8.19","4 Wochen","4","8.60","6 Wochen","6","LL"
1,"DDList_53","16","14.90","2 Wochen","2","17.14","6 Wochen","6","SS"
1,"DDList_40","17","13.33","2 Wochen","2","19.99","4 Wochen","4","LL"
1,"DDList_23","18","11.36","Heute","0","15.34","4 Wochen","4","LL"
1,"DDList_55","19","26.11","2 Wochen","2","35.25","6 Wochen","6","LL"
1,"DDList_18","20","9.75","Heute","0","10.04","4 Wochen","4","SS"
1,"DDList_65","21","25.45","4 Wochen","4","25.70","6 Wochen","6","SS"
1,"DDList_6","22","22.90","Heute","0","28.62","2 Wochen","2","LL"
1,"DDList_49","23","12.03","2 Wochen","2","12.15","6 Wochen","6","SS"
1,"DDList_19","24","22.34","Heute","0","23.45","4 Wochen","4","SS"
1,"DDList_73","25","7.55","4 Wochen","4","7.62","6 Wochen","6","SS"
1,"DDList_63","26","20.39","2 Wochen","2","27.52","6 Wochen","6","SS"
1,"DDList_57","27","28.17","2 Wochen","2","28.45","6 Wochen","6","SS"
1,"DDList_70","28","25.11","4 Wochen","4","31.39","6 Wochen","6","LL"
1,"DDList_47","29","15.14","2 Wochen","2","20.44","4 Wochen","4","LL"
1,"DDList_10","30","27.37","Heute","0","28.19","2 Wochen","2","SS"
1,"DDList_7","31","27.89","Heute","0","37.65","2 Wochen","2","LL"
1,"DDList_21","32","19.19","Heute","0","22.06","4 Wochen","4","SS"
1,"DDList_2","33","11.07","Heute","0","11.41","2 Wochen","2","SS"
1,"DDList_36","34","12.35","2 Wochen","2","13.58","4 Wochen","4","SS"
1,"DDList_35","35","25.03","2 Wochen","2","26.28","4 Wochen","4","SS"
1,"DDList_64","36","5.56","2 Wochen","2","8.34","6 Wochen","6","SS"
1,"DDList_30","37","9.88","Heute","0","12.35","4 Wochen","4","SS"
1,"DDList_8","38","28.41","Heute","0","42.62","2 Wochen","2","LL"
1,"DDList_37","39","14.49","2 Wochen","2","16.66","4 Wochen","4","LL"
1,"DDList_66","40","35.46","4 Wochen","4","36.53","6 Wochen","6","SS"
1,"DDList_39","41","23.17","2 Wochen","2","31.29","4 Wochen","4","LL"
1,"DDList_43","42","14.59","2 Wochen","2","15.32","4 Wochen","4","SS"
1,"DDList_27","43","7.96","Heute","0","8.36","4 Wochen","4","SS"
1,"DDList_78","44","24","4 Wochen","?","30","6 Wochen","?","LL"
1,"DDList_46","45","12.82","2 Wochen","2","16.03","4 Wochen","4","LL"
1,"DDList_52","46","30.64","2 Wochen","2","33.70","6 Wochen","6","SS"
1,"DDList_79","47","16.42","4 Wochen","?","22.16","6 Wochen","?","SS"
1,"DDList_20","48","9.66","Heute","0","10.63","4 Wochen","4","SS"
1,"DDList_25","49","14.28","Heute","0","14.43","4 Wochen","4","SS"
1,"DDList_54","50","18.49","2 Wochen","2","23.11","6 Wochen","6","SS"
1,"DDList_34","51","29.35","2 Wochen","2","30.23","4 Wochen","4","SS"
1,"DDList_38","52","29.54","2 Wochen","2","36.92","4 Wochen","4","LL"
