id,comment,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,
05zds,,katze,meerschweinchen,hund,affe,nilpferd,elefant,godzilla,tiger,loewe,gepard,krokodil,echse,ameise,papagei,vogel,moewe,walross,wal,delfin,muschel,schwertfisch,hund,maus,ziege,schaf,hirtenhund,kuh,murmeltier,wolf,baer,braunbaer,schwarzbaer,amsel,meise,drossel,fink,star,labrador,ratte,kellerassel,schmetterling,specht,pavian,gorilla,luchs,fischkatze,dromedar,kamel,lama,huehner,hahn,schwein,gazelle,wasserbueffel,otter,wiesel,frettchen,hase,kaninchen,goldfisch,chinchilla,pinguin,eisbaer,ente,gans,,,,,,,,,,,,,,,,,,,,,,,
07wj6,,hund,katze,kuh,ross,huhn,gaense,elefanten,nashorn,tiger,loewe,schlange,kaefer,pinguin,fisch,krebs,schlange,seehund,papagei,kanarienvogel,wellensittich,spatz,amsel,drossel,fink,star,maus,ratte,regenwurm,schnecke,baer,eisbaer,braunbaer,kamel,ross,pony,nashorn,elefant,flamingo,storch,seeschlange,tintenfisch,goldfisch,bueffel,giraffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0i8rx,,hund,katze,kuh,pferd,esel,igel,schnecke,eichhoernchen,reh,luchs,dachs,tiger,loewe,hyaene,leopard,gepard,haifisch,walfisch,tintenfisch,skorpion,schlange,vogel,erdmaennchen,elefant,giraffe,nashorn,krokodil,flusspferd,antilope,kamel,giraffe,hase,hund,blindschleiche,maus,ratte,tintenfisch,muecke,kolibri,vogel strauss,ente,emu,eisbaer,braunbaer,schwarzbaer,lachs,forelle,stoer,spinne,moewe,qualle,wespe,biene,fliege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0oss0,,hund,katze,pferd,kuh,esel,dromedar,kamel,schlange,vogel,tiger,loewe,hyaene,fuchs,dachs,wiesel,eichhoernchen,marder,fisch,wal,hai,delfin,orka,schwertwal,hammerhai,forelle,bakterie,wurm,fliege,hummel,biene,wespe,eisbaer,wolf,mammut,pinguin,orangutan,schimpanse,affe,krokodil,schnecke,qualle,moewe,hecht,forelle,schwalbe,spatz,fink,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0wpbe,,krabbe,schnecke,wal,fisch,vogel,amsel,drossel,fink ,star,kuh,schwein,pferd,maus,ratte,laus,esel,elefant,giraffe,delfin,forelle,lachs,zander,seibling,wuestenmaus,schlange,kobra,wuergeschlange,anakonda,bakterien,hase,esel,ziege,schaf,hund,katze,maus,igel,maulwurf,spinne,schnake,fliege,wurm,regenwurm,bandwurm,grille,nashorn,ruesselbaer,nasenbaer,beutelratte,kaenguru,zebra,gnu,antilope,braunbaer,grizzly,schwein,meerschweinchen,zwerghase,kaninchen,kolibri,nachtigall,goldfisch,eichhoernchen,fledermaus,flughund,gorilla,schimpanse,beutelratte,nilpferd,elefant,kuh,stier,reh,hirsch,fuchs,dachs,luchs,schimpanse,rhesusaffe,,,,,,,,,
0y2xh,,wildtiere,waldtiere,hasen,katzen,hunde,pferde,affen,primaten,gorillas,orangutans,elefanten,ziegen,geissen,kuehe,hamster,zwerghamster,ratten,maeuse,voegel,papageien,nymphensittiche,wellensittiche,kanarienvogel,milan,raben,fuchs,wolf,rehe,hirsche,schlangen,echsen,geckos,eidechsen,leguane,kamele,dromedare,esel,yaks,gnus,zebus,koala,wombats,wuestenmaeuse,frettchen,nerze,nutria,dogge,schaeferhund,wolfshund,pudel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18dlb,,fuchs,hase,hund,katze,tiger,loewe,zebra,walross,eisbaer,braunbaer,affe,pferd,esel,kaninchen,schwein,kuh,ochse,schmetterling,ameise,raupe,vogel,eichhoernchen,meerschweinchen,fische,wal ,delfin,schildkroete,schlange,wildschwein,hirsch,reh,nashorn,kaenguru,biber,dachs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1codz,,katzen,hunde,kamele,chamaeleons,nilpferde ,nashoerner,antilopen,robben,fische,haie,wale,vogelarten,raubtiere,loewen,panther,elefanten,luchse,fuechse,woelfe,adler,insekt,schmetterlinge,kaefer,quallen,zebras,panther,nashoerner,orangutans,schimpansen,tiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1eagv,,saeugetiere,wirbeltiere,schnecken,giraffen,esel,pferd,affe,hund,katze,lebewesen,wale,delfin,walross,ameise,insekt,vogel,greifvogel,adler,seeadler,wildkatze,loewe,leopard,gepard,menschen,amphibien,reptilien,frosch,kroete,leguan,biologie,dinosaurier,termiten,wanzen,muecken,stechmuecken,moskito,schlangen,geckos,echsen,schmarotzer,bandwurm,spinne,kreuzspinne,vogelspinne,hai,hammerhai,hauskatze,gorilla,orangutan,schimpanse,bonobo,bakterien,bussard,rotkehlchen,qualle,fisch,krokodil,alligator,schnecke,weinbergschnecke,nacktschnecke,kaefer,,,,,,,,,,,,,,,,,,,,,,,,,,
1x78r,,katzen,hunde,pferde,kuehe,schweine,enten,gaense,schnecken,maeuse,ratten,voegel,luchs,baer,wolf,puma,tiger,loewe,strauss,pfau,kaenguru,iltis,voegel,seeloewe,eisbaeren,robben,fische,wal,hai,delfine,pinguine,huftiere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
